id,language,domain,template_html,title,source,license_redistribution_note
28,en,Finance,en/html/28.html,Request for Taxpayer Advocate Service Assistance (and Application for Taxpayer Assistance Order),Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
29,en,Business,en/html/29.html,IRP REGISTRATION AUTHORIZATION INFORMATION,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
30,en,Finance,en/html/30.html,"STATEMENT OF OWNERSHIP FOR NON-TITLED VEHICLES, BOATS,SNOWMOBILES AND ALL-TERRAIN VEHICLES",Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
31,en,Finance,en/html/31.html,Taxable Fuel Bond (For use to post bond under section 4101),U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f637.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
32,en,Finance,en/html/32.html,Corporate Dissolution or Liquidation (Required under section 6043(a)of the Internal Revenue Code),Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
33,en,Gov. & Public Svc.,en/html/33.html,Title VI Complaint Form,New York State: https://dmv.ny.gov/,Source-site terms apply. Original source document is not redistributed by NEST.
34,en,Finance,en/html/34.html,Application for Extension of Time for Payment of Tax Due to Undue Hardship,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
35,en,Finance,en/html/35.html,Statement of Person Claiming Refund Due a Deceased Taxpayer,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
36,en,Finance,en/html/36.html,Personal Financial Statement,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
37,en,Business,en/html/37.html,Standard Operating Procedure Template,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
38,en,Business,en/html/38.html,Standard Operating Procedure Template,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
39,en,Business,en/html/39.html,Personal Information Form,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
40,en,Finance,en/html/40.html,Form W-2 Wage and Tax Statement,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/fw2.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
41,en,Finance,en/html/41.html,Request for Copy of Tax Return,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f4506.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
42,en,Finance,en/html/42.html,Power of Attorney and Declaration of Representative,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f2848.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
43,en,Finance,en/html/43.html,Application for Employer Identification Number,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
44,en,Finance,en/html/44.html,Application for IRS Individual Taxpayer Identification Number,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
45,en,Finance,en/html/45.html,Application for Enrollment to Practice Before the Internal Revenue Service,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f23.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
46,en,Finance,en/html/46.html,Notice Concerning Fiduciary Relationship (Internal Revenue Code Sections 6036 and 6903),U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f56.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
47,en,Finance,en/html/47.html,"Notice Concerning Fiduciary Relationship of Financial Institution ( Internal Revenue Code sections 6036,6402,and 6903)",Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
48,en,Finance,en/html/48.html,Installment Agreement,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f433d.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
49,en,Finance,en/html/49.html,Certificate of Payment of Foreign Death Tax,Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
50,en,Finance,en/html/50.html,Application for Registration (For Certain Excise Tax Activities),Source Websites: Vertex42 (https://www.vertex42.com/); Template.net (https://www.template.net/),Source-site terms apply. Original source document is not redistributed by NEST.
51,en,Gov. & Public Svc.,en/html/51.html,TOOL SIGN OUT LOG/REGISTER,TemplateRoller: https://www.templateroller.com/template/248422/da-form-5519-r-tool-sign-out-log-register.html,Source-site terms apply. Original source document is not redistributed by NEST.
52,en,Healthcare,en/html/52.html,AUTHORIZATION FOR DISCLOSURE OF MEDICAL OR DENTAL INFORMATION,U.S. Department of Defense: https://www.esd.whs.mil/Portals/54/Documents/DD/forms/dd/dd2870.pdf,Source-site terms apply. Original source document is not redistributed by NEST.
53,en,Healthcare,en/html/53.html,Blood Pressure Self-Monitoring Chart,Intermountain Heart Center: https://www.intermountainheartcenter.com/,Source-site terms apply. Original source document is not redistributed by NEST.
54,en,Finance,en/html/54.html,Application for Employer Identification Number,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/fss4.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
55,en,Business,en/html/55.html,BILL OF SALE,PrintableCashReceipts.com: https://www.printablecashreceipts.com/,Source-site terms apply. Original source document is not redistributed by NEST.
56,en,Finance,en/html/56.html,Rental Property Damage Invoice,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
57,en,Finance,en/html/57.html,Trump Account Election(s),U.S. Internal Revenue Service: https://www.irs.gov/forms-pubs/about-form-4547,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
58,en,Gov. & Public Svc.,en/html/58.html,REQUEST FOR ARMED FORCES PARTICIPATION IN PUBLIC EVENTS (NON-AVIATION),U.S. Department of Defense: https://www.esd.whs.mil/Portals/54/Documents/DD/forms/dd/dd2536.pdf,Source-site terms apply. Original source document is not redistributed by NEST.
59,en,Business,en/html/59.html,Request for Quotation,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
60,en,Business,en/html/60.html,MOVING ESTIMATE,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
61,en,Business,en/html/61.HTML,Quotation,Baidu Wenku: https://wenku.baidu.com/tfview/0fa87e31bcd5b9f3f90f76c66137ee06eff94eb2?keyword=%E4%B8%AD%E8%8B%B1%E6%96%87%E5%A4%96%E8%B4%B8%E6%8A%A5%E4%BB%B7%E5%8D%95&fr=launch_ad&SS-bdtg47=&utm_source=bdss-WD&utm_medium=cpc&utm_account=SS-bdtg47&utm_term=2&utm_content=1&e_creative=123062069369&e_keywordid=467991937785&bd_vid=6685007478634961766&reqidFail=0&is_query_reqid=1&isQueryIdDoc=1&rank_mode=1&_wkts_=1776212712440,Source-site terms apply. Original source document is not redistributed by NEST.
62,en,Business,en/html/62.html,Quotation Sheet,Baidu Wenku: https://wenku.baidu.com/tfview/6899072ff605cc1755270722192e453611665b49?_wkts_=1776212950089,Source-site terms apply. Original source document is not redistributed by NEST.
63,en,Business,en/html/63.html,QUOTATION,Baidu Wenku: https://wenku.baidu.com/tfview/949d49a9d1f34693daef3e72?_wkts_=1776213115675,Source-site terms apply. Original source document is not redistributed by NEST.
64,en,Healthcare,en/html/64.html,HUMAN RESOURCES DIVISION REQUEST FOR EMERGENCY MEDICAL TECHNICIAN SELECTIVE CERTIFICATION,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
65,en,Business,en/html/65.html,Tenant Acknowledgment of Receipt of Rental Occupancy Policies: Tenant Handbook & Appendices 1-10,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
66,en,Healthcare,en/html/66.html,EMT Licensure Application,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
67,en,Business,en/html/67.html,Form W-9 (Rev. March 2024),SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
68,en,Finance,en/html/68.html,Application for IRS Individual Taxpayer Identification Number,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/fw7.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
69,en,Business,en/html/69.html,Event Venue Booking Application,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
70,en,Business,en/html/70.html,Venue Hire Cost Worksheet,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
71,en,Finance,en/html/71.html,Receipt,Microsoft Create: https://excel.cloud.microsoft/,Source-site terms apply. Original source document is not redistributed by NEST.
72,en,Finance,en/html/72.html,Credit Note,Microsoft Create: https://excel.cloud.microsoft/,Source-site terms apply. Original source document is not redistributed by NEST.
73,en,Business,en/html/73.html,Time & Materials Invoice,Microsoft Create: https://excel.cloud.microsoft/,Source-site terms apply. Original source document is not redistributed by NEST.
74,en,Business,en/html/74.html,Invoice,Microsoft Create: https://excel.cloud.microsoft/,Source-site terms apply. Original source document is not redistributed by NEST.
75,en,Business,en/html/75.html,MEETING MINUTES,Microsoft Create: https://word.cloud.microsoft/,Source-site terms apply. Original source document is not redistributed by NEST.
76,en,Business,en/html/76.html,HOA MEETING MINUTES,Microsoft Create: https://word.cloud.microsoft/,Source-site terms apply. Original source document is not redistributed by NEST.
77,en,Business,en/html/77.html,Commercial Invoice,Template.net: https://www.template.net/,Template.net permits personal or business use under a non-transferable license and prohibits template redistribution. Original source document is not redistributed by NEST.
78,en,Healthcare,en/html/78.html,EMT-BASIC TRAINING PROGRAM EQUIVALENCY FORM,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
79,en,Healthcare,en/html/79.html,EMT Student Prerequisite Medical Requirements,Los Angeles County Department of Health Services: https://www.ladhs.org/clinics/,Source-site terms apply. Original source document is not redistributed by NEST.
80,en,Healthcare,en/html/80.html,Hepatitis B Vaccine Verification,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
81,en,Business,en/html/81.html,OFFICE LEASE,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
82,en,Healthcare,en/html/82.html,Physical & Mask Fit Testing Clearance Form (To be completed by physician or authorized provider),SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
83,en,Education,en/html/83.html,Program Attendance Roster,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
84,en,Education,en/html/84.html,CEP Class Attendance Roster,SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
85,en,Business,en/html/85.html,Individual Responsibility Agreement (IRA),SampleTemplates: https://www.sampletemplates.com/,Source-site terms apply. Original source document is not redistributed by NEST.
86,en,Workplace / HR,en/html/86.HTML,Weekly Time Card With Lunch,PrintableTimeCards.com: https://www.printabletimecards.com/preview/Weekly_Time_Card_With_Lunch,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
87,en,Workplace / HR,en/html/87.HTML,Semi-Monthly Vintage Time Card,PrintableTimeCards.com: https://www.printabletimecards.com/preview/Semi-Monthly_Vintage_Time_Card,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
88,en,Workplace / HR,en/html/88.HTML,Driving Log,PrintableTimeCards.com: https://www.printabletimecards.com/preview/Truck_Driving_Log,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
89,en,Workplace / HR,en/html/89.HTML,Community Service Time Card,PrintableTimeCards.com: https://www.printabletimecards.com/preview/Community_Service_Time_Card,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
90,en,Workplace / HR,en/html/90.HTML,September Time Card,PrintableTimeCards.com: https://www.printabletimecards.com/preview/September_Time_Card,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
91,en,Gov. & Public Svc.,en/html/91.html,East Kowloon Cultural Centre Application for Ordinary/ Late/ Special Booking Incubator 1 / 2 / 3,EKCC: https://www.ekcc.hk/documents/venue_detail/hiring/booking-docs/EKCC_IN123_ApplicationForm_en.pdf,Source-site terms apply. Original source document is not redistributed by NEST.
92,en,Workplace / HR,en/html/92.HTML,4X9-Inch Time Card,PrintableTimeCards.com: https://www.printabletimecards.com/preview/3_5x9-Inch_Time_Card,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
93,en,Business,en/html/93.HTML,Yellow Border Blank Invoice Template,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
94,en,Finance,en/html/94.HTML,Account Statement,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
95,en,Finance,en/html/95.HTML,Bank Transfer Request,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
96,en,Business,en/html/96.html,Vehicle Work Order,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
97,en,Business,en/html/97.html,Vehicle Work Order,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
98,en,Business,en/html/98.html,STOP WORK ORDER,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
99,en,Business,en/html/99.html,Painting Work Order,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
100,en,Business,en/html/100.html,Pest Control Work Order,PrintableInvoiceTemplates.net: https://www.printableinvoicetemplates.net/preview/Yellow_Border_Blank_Invoice_Template,"Savetz Publishing permits personal, organizational, or business use and modification, but redistribution requires prior written permission. Original source document is not redistributed by NEST."
101,en,Education,en/html/101.html,Education Allowance Questionnaire,U.S. Department of State: https://eforms.state.gov/Forms/ds63.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
102,en,Healthcare,en/html/102.html,New Patient Registration Form – Adult,Weston House Practice / NHS: https://westonhousepractice.nhs.uk/wp-content/uploads/2024/04/Adult-New-Patient-Registration.pdf?push_animated=1&show_loading=0&webview_progress_bar=1&theme=light,Source-site terms apply. Original source document is not redistributed by NEST.
103,en,Gov. & Public Svc.,en/html/103.html,U.S. Department of State NOMINATION FOR QUALITY STEP INCREASE (QSI) OR QUALITY PERFORMANCE AWARD (QPA),U.S. Department of State: https://eforms.state.gov/Forms/ds1968.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
104,en,Healthcare,en/html/104.html,MEDICAL HISTORY AND EXAMINATION,U.S. Department of State: https://eforms.state.gov/Forms/ds1843.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
105,en,Gov. & Public Svc.,en/html/105.html,REQUEST FOR CUSTOMS CLEARANCE OF MERCHANDISE,U.S. Department of State: https://eforms.state.gov/Forms/ds1504.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
106,en,Gov. & Public Svc.,en/html/106.html,U.S. Department of State BIOGRAPHIC DATA SHEET,U.S. Department of State: https://eforms.state.gov/Forms/ds1031_a.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
107,en,Gov. & Public Svc.,en/html/107.html,Special Immigrant Visa Biodata Form,U.S. Department of State: https://eforms.state.gov/Forms/ds234.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
108,en,Workplace / HR,en/html/108.html,Employment Application,U.S. Department of State: https://eforms.state.gov/Forms/ds174.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
109,en,Gov. & Public Svc.,en/html/109.html,Petition to Classify Special Immigrant,U.S. Department of State: https://eforms.state.gov/Forms/ds1884.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
110,en,Finance,en/html/110.html,ALLOTMENT OF PAY/PRIOR SERVICE CREDIT (FOREIGN SERVICE EMPLOYEES),U.S. Department of State: https://eforms.state.gov/Forms/ds1992.PDF,Source-site terms apply. Original source document is not redistributed by NEST.
111,en,Finance,en/html/111.html,Notice Concerning Fiduciary Relationship,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f56.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
112,en,Finance,en/html/112.html,Notice Concerning Fiduciary Relationship,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f56.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
113,en,Finance,en/html/113.html,Notice Concerning Fiduciary Relationship - Continuation,U.S. Internal Revenue Service: https://www.irs.gov/,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
114,en,Finance,en/html/114.html,Notice Concerning Fiduciary Relationship - Continuation,U.S. Internal Revenue Service: https://www.irs.gov/,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
115,en,Finance,en/html/115.html,Health Insurance Marketplace Statement,U.S. Internal Revenue Service: https://www.irs.gov/,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
116,en,Finance,en/html/116.html,Request for Transcript of Tax Return,U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f4506t.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
117,en,Workplace / HR,en/html/117.html,Additional Information for CPP Validation and Verification Programs – For employers,Government of Canada: https://www.canada.ca/,Government of Canada materials may be reproduced for non-commercial purposes under its stated conditions. Original source document is not redistributed by NEST.
118,en,Finance,en/html/118.html,Rollover from a Registered Education Savings Plan to a Registered Disability Savings Plan,Government of Canada: https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/rc435/rc435-15e.pdf,Government of Canada materials may be reproduced for non-commercial purposes under its stated conditions. Original source document is not redistributed by NEST.
119,en,Finance,en/html/119.html,Election to Deem a Proportional Holding in Qualified Trust Property,Government of Canada: https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/t1024/t1024-23e.pdf,Government of Canada materials may be reproduced for non-commercial purposes under its stated conditions. Original source document is not redistributed by NEST.
120,en,Workplace / HR,en/html/120.html,Application for an Employer Resident Outside Canada to Cover Employment in Canada Under the Canada Pension Plan,Government of Canada: https://www.canada.ca/content/dam/cra-arc/formspubs/pbg/cpt13/cpt13-25e.pdf,Government of Canada materials may be reproduced for non-commercial purposes under its stated conditions. Original source document is not redistributed by NEST.
121,en,Finance,en/html/121.html,Form 433-A (OIC) (Rev. 4-2026),U.S. Internal Revenue Service: https://www.irs.gov/pub/irs-pdf/f433aoi.pdf,Federal-employee-created IRS.gov content is not subject to U.S. copyright and may be copied. Original source document is not redistributed by NEST.
122,en,Gov. & Public Svc.,en/html/122.html,NOTIFICATION OF CHANGE OF MAILING ADDRESS,Hong Kong Water Supplies Department: https://www.wsd.gov.hk/filemanager/en/share/pdf/wwo227e.pdf?formcatid=2813&formcatlang=en&formcatformat=pdf,Source-site terms apply. Original source document is not redistributed by NEST.
123,en,Gov. & Public Svc.,en/html/123.html,Notification of Change of Residential/Correspondence Address,Hong Kong Official Receiver's Office: https://www.oro.gov.hk/pdf/eng/pforms/notification_of_change_of_residential.pdf?formcatid=2431&formcatlang=en&formcatformat=pdf,Source-site terms apply. Original source document is not redistributed by NEST.
124,en,Healthcare,en/html/124.html,Application for change of residential address / contact phone number,Hong Kong DHCA Scheme: https://www.dhcas.gov.hk/file/Change_address_form_NKCAC_E.pdf?formcatid=173&formcatlang=en&formcatformat=pdf,Source-site terms apply. Original source document is not redistributed by NEST.
125,en,Gov. & Public Svc.,en/html/125.html,Application for Change of Correspondence Address (For Use before Execution of Deed of Assignment),Hong Kong SAR Government: https://www.gov.hk/,Source-site terms apply. Original source document is not redistributed by NEST.
